vendor_action,action
Login,success
Deleted,deleted
FailedLoginAttempt,failure
FormFilled,success
PasswordChanged,modified
UsernameChanged,modified
masterpasswordChanged,modified
createLPaccount,created
AddtoSharedFolder,modified
multifactorenable,success
formfill,success
export,success
CreatedSharedFolder,created
DeletedSharedSites,deleted
EditSecureNote,modified
Deleted,deleted
RemovedFromSharedFolder,modified
RenamedSharedFolder,modified
LastPassLogin,success
